TIME,CH2
6.94E-02,0.48
6.96E-02,0.32
6.98E-02,0.48
7.00E-02,0.48
7.02E-02,0.64
7.04E-02,0.68
7.06E-02,0.44
7.08E-02,0.32
7.10E-02,0.6
7.12E-02,0.68
7.14E-02,0.6
7.16E-02,0.76
7.18E-02,0.52
7.20E-02,0.48
7.22E-02,0.52
7.24E-02,0.56
7.26E-02,0.4
7.28E-02,0.48
7.30E-02,0.56
7.32E-02,0.44
7.34E-02,0.48
7.36E-02,0.28
7.38E-02,0.4
7.40E-02,0.48
7.42E-02,0.4
7.44E-02,0.76
7.46E-02,0.48
7.48E-02,0.4
7.50E-02,0.72
7.52E-02,0.72
7.54E-02,0.36
7.56E-02,0.72
7.58E-02,0.2
7.60E-02,0.52
7.62E-02,0.4
7.64E-02,0.64
7.66E-02,0.36
7.68E-02,0.4
7.70E-02,0.84
7.72E-02,0.6
7.74E-02,0.76
7.76E-02,0.56
7.78E-02,0.84
7.80E-02,0.4
7.82E-02,0.24
7.84E-02,0.4
7.86E-02,0.24
7.88E-02,0.6
7.90E-02,0.72
7.92E-02,0.44
7.94E-02,0.8
7.96E-02,0.48
7.98E-02,0.72
8.00E-02,0.36
8.02E-02,0.52
8.04E-02,0.48
8.06E-02,0.32
8.08E-02,0.6
8.10E-02,0.64
8.12E-02,0.76
8.14E-02,0.28
8.16E-02,0.44
8.18E-02,0.44
8.20E-02,0.32
8.22E-02,0.44
8.24E-02,0.48
8.26E-02,0.52
8.28E-02,0.48
